index,text,predicted,true
5,the basic formula for the original series was take someone get the audience to like them then put them into mortal danger this formula worked for the 32 episodes made between 196468 now we jump forward 40 years to 2004 we are introduced to alan tracy a somewhat lessthandiligent college school kid with his friend fermat a young knowitall they are whisked off by lady penelope in her pink ford thunderbird to the island paradise where the tracy family live for the school holidays almost immediately they are left in the care of kyrano and his daughter tintin whilst the adults go to rescue john from thunderbird 5 which has been damaged by a staged accident this is all part of the hoods scheme to take over tracy island so that he can steal the thunderbird machines to rob a bankyes the plot is as limp as thatthe dialogue is banal the acting more wooden than that of the fibreglass puppets the effects anything but special and hans zimmers score what little there was of barry grays glorious theme shone through zimmers lackluster orchestration the rest of the score was eminently forgettable in fact part of the score was broadcast the following week on the radio and didnt recognise it i didnt even bother to stay to witness busteds mediocre efforts with the end titlesto be fair ron cook worked quite well as parker he and sophia myles as penelope seemed wasted with the right material they could have been show stoppers the cgi work was what i would have called leading edge 5 years agothe dynamics of the main craft were just wrong the original series models at least moved as if they had massanother sore point is that the whole production seemed to be one long set of product placements from every vehicle being built by ford to the entire content of the tracy freezer being produced by ben jerrysmy son 9 enjoyed the film but this cross between spy kids and clockstoppers aimed squarely at his age group added nothing to the thunderbirds legend when star trek hit the big screen in 1979 with the motion picture a whole new lease of life was breathed into the franchise which then continued for another 20 years or so with this film frakes has missed a golden opportunity to do the same with the thunderbirds franchisei predict that this film like the avengers and the saint before it will sink into obscurity within 6 months leaving the original series to its classic status,1,0
50,when this play was first shown by the bbc over 30 years ago it would have been something quite different for the time so therefor some people would have found it quite scary and may well have been impressed with the special effectslooking at the play in this day and age it doesnt seem to be all that scary anymore even the special effects can leave a lot to be desiredwould a train really be allowed to pass a red light into a dark tunnel i dont think sobut if you watch this play again you will observe that the first train that enters the tunnel rushes straight through the red light maybe thats how it was in dickens timeyou will also notice that the footpath that leads down to the signal box is very steep and in a poor state surely there would have been a series of proper steps with handrails for the signalman to climb up or down into the cutting i cant help but notice things like thati will not take anything away from the acting both denholm elliott signalman and bernard lloyd the traveller gave wonderful performancesi am not at all sure what is going oni mean was the ghost the traveller or what does anyone really fully understand this rather confusing story well maybe i am the only one that dontto sum upthe play has a wonderful atmosphere throughout with great character it suffers from not being that scary these days and a little if not very confusing in places and has some rather unusual signalling practisesthanks for reading my review,1,0
53,i never intended to see venom but i caught it on cable it does have good elements the louisiana swamp atmosphere for one something we will unfortunately not see so much of in movies because of hurricane katrina it is based on an interesting concept a regular man imbued with the spirits of evil his confrontation with his son could have been interesting as could much of the movie but as tends to happen in hollywood an interesting idea goes down a familiar direction kill off all the characters save the good girl starting with the black guys im a fan of agnes bruckner but the other characters the villains aforementioned son cece who must become a voodoo priestess are more interesting and for the love of god just once i would like to see the virgin get killed we all like the easy girl why cant she live in this case it was bijou phillips and we love herthe ending made no sense considering what had been established about the villains invincibility all the carnage and atmosphere and it leads to nothing,1,0
57,firstly this is not an adaptation of a stephen king book short story novella or anything else from ews web site and their review on the show when it first aired he never writes down to his audience and he never betrays contempt for his subjects his first original work for television stephen kings golden years cbs july 16 911 pm is no exceptionthe series was apparently going to be as others have mentioned an ongoing series which is why we never saw the ending after the cliffhanger they left us on but this was never quite made clear to the viewers who were left wondering how it all endswhen the series came out on videotape it touted itself as having the neverbeforeseen ending it should have said the shouldneverbeseen ending spoiler the very ending was the only significant part changed for the video though parts of the whole were left out and that changed ending was what destroyed the story for example rather than our two intrepid fbi agents realizing that they were now labeled as bad guys and on the run from the evil jude anderson of the shop as originally broadcast jude simply walks up to them and they shoot him bang dead and no real emotion to speak of in the scene ditto on the bit with harlan and his wife going poof whereas the original ending left us with a spectacular cliffhanger on the video they simply get out of the cockadoodie car end spoiler it was a sad ending to a rather well made miniseries and makes the video completely not worth buying or even renting sincerely save your money and your time,1,0
62,i havent seen it in over twenty years oj was the bus driver arte johnson was the tour guide lorenzo was the kidnapperyea lorenzo looked very much at home as the villain a natural i think i watched it back then most for oj who i had seen towering inferno and cassandra crossing but also to see arte johnsoni was a little bored that johnson was so seriousand yes it shifted plots in reading other posts i remember that was some plot that they were going to kidnap some rich girl but then that priceless stamp business turned up out of the bluei was going a stamp if it came on as a late movie i would probably record it to check it out again but i wouldnt be nostalgic over it not yet anywaythere are better movies from the seventies like this to check out,1,0
74,my god what an incredible movie it is reminded me so much of the similar scene in mel gibsons movie we were soldiers when the company is not lost theyre just cut off and the other scene in pearl harbour when the british officer says to ben affleck if all americans are like you then god help the nation that goes to war with americaput all 3 movies together and you would have enough bullshit to fertilise the entire sahara desertthe story of the cutoff battalion may be real enough but the movie could have done without all that american preachy jingoistic propaganda attached to it there were audible groans in the cinema during the abovementioned scene in pearl harbour no kidding either the lost battalion however is really in a class of its own americans think they are unbeatable inspired bravery i actually cringed and damn near puked at all the swill being spewed out throughout this diarrhoeic disaster the movie that is the fighting scenes were well made 3 stars for that but if the script is manure then wrapped even in brightly coloured ribbons it is still manure the writer james carabatsos also wrote those other screamers hamburger hill no mercy heartbreak ridge someone please shoot him before he writes any more such garbagethe director russell mulcahy is an australian too god the shame,1,0
91,in film i feel as though it should be more than just art i think it should be more than that a way to tell a story on screen this short from david lynch tells a story but not much of one i felt that it was funny but too bizarre to be a comedy it is good filmmaking but there really isnt anything else to it as ive said before i am a huge david lynch fan but i get frustrated by some of his work because i dont see a need for it at all this is definitely my least favorite thing he has done so far but i know hes still got a ton of talent and i am excited to see what he has in store for us in the future if you like lynch check this out but dont be surprised when you dont like it very much,1,0
92,the ballad of the sad caf worked hard at its image but when it came down to crunchtime it was left standing in its own selfcreated dustone cannot image saying this out loud but if vanessa redgraves amelia were to fight john wayne or even clint eastwood my hardearned dollars would have to go to redgrave her portrayal of amelia was as close to perfection and consumed with more detailed dedication than most actors are willing to give to any multimillion dollar contracted persona redgrave gave amelia this soulful drawl that was a blend of her own unique voice and a hardearned woman from the south to the average viewer this could be construed as annoying but as the film progressed it became her miss amelia transforming this stage beauty into a roughneck it was redgraves performance as well as her interaction with the other characters that made this film stand tall but not the tallest the others following her performance were needed but not stellar as we moved past the murky clich image passed on by every set designer hired for the postdepression south job the minor characters felt like poster board the image was needed to set the scene but the characters of the town had no other purpose take for example rod steigers vision of some old wild spoken preacher his scenes alone will make any viewer question the validity of this offthebeatenpath town the main two players who surrounded amelia battled with charm for the admirable top scenestealing moment but due to the lacking direction it just seemed faded the most absurd of the two albeit both rank high among the questionable sanity line is cork hubbard who plays amelias cousin who shows up randomly one night his character is never quite defined he lacks true motive and his loyalties remain uncertain he plays no vital role in this film outside of forcing us the viewers to question his sanity and honesty can you create a character simply by sticking out your tongue flicking your ears and punching your chest and head finally there is the other end of the absurd keith carradine callows closeups of this tormented man build character but our lack of understanding between him and amelia causes his purpose to flounder these were the characters as clich southern as they were some stood forward and attempted to create an absurdist period piece and i cannot argue that they failedwhere ballad of the sad caf failed to rise above mediocrity was in the cinematography and narrative this film was about amelia and her need for other souls in her life the audiences level of comfort with the arrival of her midget cousin was entertaining one couldnt help but wonder if he was honest or merely a confidence man attempt to leech off a warm heart cork hubbards character is never quite understood but we do accept him with brief shots of him and amelia doing small things together it is his idea that transforms from a recluse businesswoman to a bonafide caf owner the problem is that director callow never quite takes us to that dramatic take level between cork and redgrave is the man crazy or does he represent all of amelias family i needed something from callow that brought these two out of the david lynchesquire relationship that they had then our pool gets even deeper with the addition of carradine as amelias love interest using the technique of a flashback within a flashback we see the two wed but never consummate their love which amelias anger against their love drawing him into the world of madness why was amelia so angry why was there no connection between carradine and redgrave why was this even in the film with the lack of focus towards these characterss connection the eventual scenes between the two made no sense throw in corks choice and it just gets completely discombobulated while there were a few beautiful choreographed scenes that callow created the inability to transfer his characters from point a to point b i lost focus interest and my care for the characters plummeted when i didnt understand the ultimate question why overall the ballad of the sad caf began with a bang but ended with a very small crack of a firecracker my emotional feel of this film swung up and down up and down and eventually stayed further down mainly due to the lack of understanding of the motives of the characters redgrave did a phenomenal job as amelia and while the other characters outside of the random steiger tried their best i just didnt quite understand who they were their motives were so muddled that when the emotional ending finally occurred i was apathetic director callow seemed to have been lacking importing connecting scenes that would allow us to understand the dynamic relationship between all of our main players callow created some beautiful scenes where faces seemed to overlap the scenery which allowed us to focus on amelia or carradine but nothing was explained or developed the film played out with anger discover happiness flashback anger anger anger fade out without the comparative connectors this transformed from distinguished period film to actors playing parts in front of camera it was a shame because sad caf had the promise it just couldnt delivergrade out of,1,0
112,actually this is a lie shrek 3d was actually the first 3d animated movie i bought it on dvd about 3 years ago didnt bugs life also do that i think it was at disneyworld in that tree so im saying before they go and use that as there logo also shrek 3d was a motion simulator at universal studios they should still consider it as a movie because it appeared in a theater and you could buy it for dvd the movie was cute at least the little flyes were i liked iq i agree with animaster they did a god job out of making a movie out of something that is just a outandback adventure i recommend it to families and kids,1,0
127,the first official release of world wrestling entertainments film division is a pretty basic horrorslasher movie called see no evil starring kane one of their big men wrestlers known for having an intimidating presence hardhitting moves and one of the most convoluted backstories in wrestling and lets not pull any punches here while this movie is promoted as the greatest horror movie of all time mostly by wwe it goes without saying that after having seen this movie i can confirm it as one of the greatest comedies of all timesee no evil sees a bunch of juvenile delinquents sent to a hotel so they can clean up of course a monstrous murderer played by kane also happens to be living in this hotel and we all know where that goes without giving away too much of the movie plot this film has all the semblance and structure of an early1980s slasher flick with most of the clichs intact but without any of the scares that those films accompany and thats sort of the main problem with see no evil it tries so many of the tricks implied by its predecessors in the genre that it comes off as predictable veteran horror fans will easily recognize some of the gimmicks ahead of time and even those who have only seen a few flicks should tell what happens next its too generic to be scarythe movies gory no doubt but its only there for the effect the dark atmosphere instilled in the movie gives off that feel of terror initially but as you get towards the end it somehow feels out of place and gets tiresome quickly the death scenes dont come off as gory and horrific as much as they do laughable although some of them are pretty inventiveand the acting in this movie is pretty bad too as the main characters arent developed enough for us to care when they eventually do get axed some cant even portray fear properly they just scream and cry in a vain effort to emote so when they die it only adds to the comedy because you dont care enough about them that you simply consider them the equivalent of starfleet redshirts to the monster kaneas for kane he simply portrayed his movie character the same way he portrays his wrestling character only he uses axes and hooks instead of hellfire and brimstone theres no doubt in my mind that kane can be a great fixture in the horror genre he has the look and presence for it he just needs better material specifically a script that isnt written by someone who writes wrestling shows to work withnow despite what may seem like a harsh review i actually enjoyed the film its one of those laughably bad movies that you cant help but sit down and enjoy my main gripe with the film again is that its simply an exercise in filming gory kills and doesnt have any frightening or shock moments i enjoyed it but i enjoyed because it was easy for me to laugh off some of what was supposed to be scary moments in the movie if that happens because it was supposed to be that way the movie would have been rated higher but it didnt it got laughs because its a bmovie and it doesnt help that the directors previous experiences was porn flicks and music videos not exactly overcomplicated things to direct anyway nonetheless i enjoyed it tremendouslyif you dont mind a fun bmovie or funny horror film id highly recommend see no evil if you are a true enthusiast of the genre id wait until the dvd comes out before checking it out everyone else should probably go watch something else,1,0
