index,text,predicted,true
9,if theres one genre that ive never been a fan of its the biopic always misleading filled with false information overdramatized scenes and trickery all around biopics are almost never done right even in the hands of the truly talented directors like martin scorsese the aviator and ron howard a beautiful mind they often do a great disservice to the people they are trying to capture on screen skeptiscism takes the place of hype with the majority of biopics that make their way to the big screen and the notorious bettie page was no different some critics and moviegoers objected to gretchen mol given the role of bettie page saying she was no longer a celebrity and didnt have the chops for the part i never doubted mol could handle the part since but i never expected to as blown as away by her performance as i was upon just viewing the film hours ago mol delivers a knockout oscar worthy performance as the iconic 1950s pinup girl who after an early life of abuse depicted subtlety and tastefully done something few directors would probably do inadvertently becomes one of the most talked about models of all time the picture covers a lot of ground in its 90 minute running time yet despite no less than three subplots there is still a feeling that there may be a small portion missing from the story directorcowriter marry harron and guinevere turners fantastic script is only marred by a too abrupt and not as clear as it should be ending still credit must be given to the two ladies for creating a nearly flawless biopic that manages to pay tribute to both its subject and the decade it emulates masterfully come oscar time mol turner and harron should be receiving nominations doubt it will happen though there certainly are no three women more deserving of them 910,0,1
19,especially after watching the matrix reloaded spoilersafter seeing the matrix with all its ridiculous fantasy makebelieverobotic characters with their super powers it was refreshing to see an action movie with real people in situations that involved actual risk i cared about these people and even though some of the stunts seemed a bit much it still left me feeling like its possible verses what a stupid video game like the matrixthis movie isnt brain surgery its very straight forward some things are predictable like knowing that someone is going to be a backstabber and that someone early on is going to die pretty obvious but so what the first 15 minutes sets up our reason our motive our main objectivei like that theron and walhberg didnt have any makeout scenes i am glad that they didnt go there they kept it about funny dialogue especially seth greene that guy is funnythis is a movie that i would buy when it comes out on dvd its fun fast and entertaining the only thing and i guess its a big thing is that we are really rooting for the bad guys this group of protaganists are already on the wrong side of the law not a good message for the kiddies parents please explain this to them,0,1
25,i attended camp chesapeake it was located at the head of the chesapeake bay on the north east river in md it was a similar type summer camp with cabins it was established by the coatesville pa ymca i started out as a young camper and later became a junior senior counselor and later the waterfront director if the camp had continued i would have done anything within my power to become the camp director alas the powers of the ymca decided to close down the camp and sell it to the state of md i visited the former camp some years later by boat and was dismayed by the neglect of the state of md and natural destruction by mother nature the 350 acre site served so many with all the benefits of contact with natures offerings a black man by the name of curtis ford and his family were residents and caretakers of the property mr curtis was my friend and mentor i idolized his every being even as he could not swim he was a waterman if i asked him where the fish were biting he would designate the spot and i would have a ball ther was also a family camp at the end of the summer these memories will be with me for eternity,0,1
36,if youve ever wondered why they dont make porn with a plot watch dream quest on the one hand you have to give the armstrong credit both for making the effort to capitalize on this idea and for using such a strong adult cast to put some name power behind it on the other hand it also quickly becomes apparent why most porns never have more than 15 or 20 seconds of dialog connecting sex scenes together these people simply cannot act and the story is unfortunately lame to a ridiculous degreestill i gave it a 7 because it was a nice try and there didnt seem to be much of an effort to cut corners also id like to see more attempts like this one maybe someday i will see the perfect combination of porn and plot,0,1
70,now i know french inmates are unlikely to have read lovecraft and that proves my point that his writings should be taught in school maybe as a separate subject but how did they think something that sounds like ftagn yog sototh could possibly lead to any goodthe movie takes place in a prison where four very unlikely cell mates stumble upon a magical book that may if read right get them out as prisons go the cell was totally unrealistic so that made it hard for me to get into the atmosphere of things it also moves rather slowly which may bore people but other than that this is top notch horror feeling mixing sartres hell is other people with a lovecraftbarker type of story and doing rather successfullybottom line take the time to watch this that means not doing it when you are about to go to work or to sleep or while doing something else this is a movie that works best if you are immersed into it lessons to be learned yog is bad almost as bad as french women,0,1
93,i like cheap perfume better it doesnt last as long ralph meekers convict character lawson tells this to barbara stanwycks helen character after he gets a whiff of the perfume that she picked out wher husband in tijuana this line cracked me up and also seemed like a metaphor for this film that cheap is better than expensive because a cheap perfumeloving man who has a way with a 2 x 4 is a better man to have around in the long run i agree with some of the other comments posted about helens attraction to lawson even though her narration states that she wants lawson to be put away she did seem attracted to his fiery nature and that passion he stirred up in her wouldnt likely wash away with the tide,0,1
99,after all the crap that hollywood and the indies have churned out we finally get a movie that delivers some scary moments there are some clichd moments but im not sure its possible nowadays to make an entirely original movie theres not much new hereits just done wellmake sure and pay attention as the subtle scares come quickly and often this is not a movie to watch while youre eating pizzatheres one very wellwritten red herring in this movie and unfortunately one very poorlycast role cheri christian just doesnt make an effective julie the wifemother for one thing shes totally unsympathetic i know i knowshes just gone through a traumatic experience but the viewer never gets to know her as she normally is and the relationship between her and her husband is rather discomforting in an unintentional way i think that the director had meant for us to have some sympathy for her but i never didfinally a thumbsup for the ending which is both disturbing and satisfying it could easily have been cheapened with a sound effect at the beginning of the end credits but the director wisely resistedthis is not a masterpiece by any means but it is a good oldfashioned scary moviesomething thats rather rare nowadays,0,1
104,its not easy making a movie with 18 different stories in it although 18 different international directors took the challenge not everyone of them is good some of them even boring but in his entity paris je taime is breathtaking showing that as love actually put it love is all around especially in the city of love heres a resum ill try to make at as spoilerfree as possible of the 18 different storiesmontmartre kind of a dull opening sequence nothing really special about it a man finds a parking spot and sees a lot of odd couples walking by wondering why he cant find a girl and than suddenly a woman faints next to his carquais de seine another dull sequence about three teenage boys who are searching for some piece of ass when suddenly a muslim girl trips right in front of them receiving help from one of the boys really basic but with a sweet heart to itles marais this was a huge disappointment although a love story between two boys with an artsy background could have been interesting by the great van sant eventually everything that comes after the monologue by ulliel is good everything before it is just annoyingtuileries an entertaining sequence by the coen brothers buscemi without even saying one word is mesmerizing and the whole sequence is just hilarious this one kept me hooked until the very end and this one also gets you truly hooked to the movieloin du 16ieme a beautiful story too even if the execution is poor the heart is there its the story of an hispanic woman who drops her child off early in the morning to take care of another suburban baby beautifulporte de choisy this segment has got to be the strangest and weirdest from the whole movie some kind of shampoo salesman arrives in a chinatownlookalike place in paris if i understood it correctly the story is about inner beauty but i think im wrongbastille a truly wonderful sequence a man meets with his wife at a restaurant to break up with her so that he can run off with his mistress but the wife has some devastating news pretty basic but truly sad and beautiful place des victoires a sad sequence as well juliette binoche plays a grieving mother one night she wakes up hearing her dead child when she arrives at the location a cowboy tells her she can give one last goodbye to her child one of the best segments tour eiffel two mimes who fall in love could have been great but even though it has some nice cinematic tricks the story isnt intriguing and not funny at allparc monceau a truly original and great sequence one of the best of the movie a young girl and an older man discuss their future and her fear for a certain man cuaron does a great directing job and the actors are amazing quartier des enfants rouges an american actress gyllenhaal falls in love with her drug dealer a beautiful segment again with a very sad ending place des fetes a woman comes to a homeless man he starts talking romantic to her because she is the love of his life beautiful sad shocking romantic place des ftes will make everyone crypigalle a boring sequence between ardant and hoskins who are looking for new thrills in their relationship very unfunny and unromantic pigalle is a letdownquartier de la madeleine bringing some diversity in the movie qdlm is a relief a young guy wood finds a vampire killing a victim the tourist and the vampire fall in love dark scary and oddly romantic madeleine is superbperelachaise another letdown segment directed by wes craven and with stars as mortimer and sewell it could have been great but prelachaise is just ordinary not original at allfaubourg saintdenis the rumors are true twykers short film is beautiful stunning and well done a blind man picks up the phone and hears from his girlfriend portman truly stunning that she breaks up with him he reflects on their relationshipquartier latin even though this segment has been codirected by depardieu and has such stars as rowlands gazzara and depardieu this segment is a letdown too nothing happens lack of chemistry between the actors14th arrondissement the last sequence is hilarious and sad at the same time an american tells in her french class about her trip to paris her french is truly terrible but at the end of the segment she realizes that paris is so much more than meets the eyewith feist on the background paris je taime ends in a sweet tone not letting me down at all even though some segments bored the hell out of me the entity of the movie is great a true cinematic experience for young and old paris je taime vraiment,0,1
108,elephant walk 1954 starring an early peter finch as lord of the manor in some godforsaken plantation where there is always the danger of elephants or mad englishmen staying out in the midday sun and going berserk well eventually they do after the typhoid or cholera outbreak of course and much mayhem ensues taylor replaced an ailing vivien leigh in this pot boileradventure flick when the elephants storm the house and trap liz on the grand staircase i still get goose bumps thank goodness dana andrews is around to save the day one of my favorite guilty pleasures in color too,0,1
119,while i am not a big fan of musicals i have loved the films of fred astaire and ginger rogers because they are just so much fun sure they can be a bit formulaic but even though you know what is going to happen they still are very pleasing to watch however despite this i was a bit disappointed in this outing part of it was because this film doesnt have the wonderful supporting cast like you saw in top hat or shall we dance without edward everett horton or eric blore the film seems to be a bit lackingespecially in the fun department the silly antics of these supporting actors gave the other films charm that you just dont get with follow the fleet in addition unlike the usual character played by astaire this one is more of a jerkas his fat head gets rogers into trouble again and again and as a result its a lot harder to like him or want to see them get together in the end of the film plus although the music is by irving berlin the songs just dont seem as memorable in fact none of the songs were all that special and i cant recall any of them even though i just saw the movie while this is still a cute and worthwhile film it just lacks the sparkle and magic of some of their other films good but far from great,0,1
